subject_id,time_bin,valence,arousal
term136,15:00-18:00,-1,-1
term156,15:00-18:00,-1,3
term129,15:00-18:00,2,-2
term155,15:00-18:00,-2,1
term14,15:00-18:00,0,2
term16,15:00-18:00,0,2
term19,15:00-18:00,1,1
term132,15:00-18:00,1,2
term14,15:00-18:00,2,2
term125,15:00-18:00,0,1
term146,15:00-18:00,2,4
term123,15:00-18:00,1,-3
term145,15:00-18:00,1,3
term157,15:00-18:00,-2,-1
term142,15:00-18:00,0,0
term136,15:00-18:00,-2,3
term133,15:00-18:00,1,0
term125,15:00-18:00,0,-3
term146,15:00-18:00,2,-2
term129,15:00-18:00,1,-1
term155,15:00-18:00,2,-1
term154,15:00-18:00,1,3
term157,15:00-18:00,2,2
term149,15:00-18:00,4,-1
term18,15:00-18:00,-2,3
term13,15:00-18:00,0,1
term123,15:00-18:00,-4,3
term130,15:00-18:00,3,-1
term146,15:00-18:00,1,-3
term142,15:00-18:00,-2,0
