analysis_label,data_kind,act_kind,data_count,valid_data_count,invalid_data_count,data_availability_rate,unique_subjects,date_range_start,date_range_end,sample_count,maximum,minimum,range,mean,median,variance,std,autocorr_lag1,autocorr_lag5,autocorr_lag10,trend_slope,trend_r_squared,trend_p_value
act_gmx | Sessions(500-600),act,gmx,500,451,49,90.2,2,'2022-10-10 09:03:23','2022-10-26 19:52:00',12605912,1.0792899772256406,-1.2954876054778683,2.374777582703509,-0.6037147519062168,-0.65899297954733,0.07593292652814969,0.27555929766231746,0.9999138028708369,0.9978498418538924,0.9914589382041795,9.36440915913049e-08,0.09545014077381257,0.010818789707533456
act_gmy | NoCondition,act,gmy,500,434,66,86.8,4,'2022-10-10 08:59:24','2022-10-26 20:03:23',12126323,1.6119847538698795,-1.4004888171081746,3.012473570978054,0.03010729242798025,-0.00209853275958579,0.30357356589996304,0.550975104609966,0.9999551471407894,0.9988900678343915,0.9955915304253012,7.61415009825838e-07,0.14019311214658842,0.009740033581312259
act_gmy | Sessions(0-100),act,gmy,500,424,76,84.8,6,'2022-10-10 07:58:52','2023-03-22 21:17:37',11787895,1.6220838466829777,-2.12371624476471,3.7458000914476877,-0.04381693090687909,-0.07240507110130305,0.284857499408907,0.5337204318825606,0.9999498886846788,0.9987379940471276,0.9949103110393744,-7.46757046931959e-08,0.1359426212081025,0.00711538237750697
act_gmy | Sessions(100-200),act,gmy,500,352,148,70.39999999999999,5,'2022-10-10 07:28:31','2022-11-25 13:53:25',9750622,1.59519631267838,-1.1909403435591246,2.7861366562375043,-0.023158404218532953,-0.06016061955064819,0.297679410435408,0.54560004622013,0.9999493443739468,0.9987365528440251,0.994981199444394,3.383938568606575e-06,0.15473433096824565,0.0022267280900390447
act_gmy | Sessions(200-300),act,gmy,500,434,66,86.8,4,'2022-10-10 08:59:24','2022-10-26 20:03:23',12126323,1.6119847538698795,-1.4004888171081746,3.012473570978054,0.03010729242798025,-0.00209853275958579,0.30357356589996304,0.550975104609966,0.9999551471407894,0.9988900678343915,0.9955915304253012,7.61415009825838e-07,0.14019311214658842,0.009740033581312259
act_gmy | Sessions(300-400),act,gmy,500,446,54,89.2,4,'2022-10-10 06:27:14','2022-10-26 19:52:19',12461922,1.7052127512463588,-1.7899333750516304,3.495146126297989,0.049061222362149486,-0.008180261105747561,0.3679718162891072,0.6066068053435497,0.9999446966293867,0.9986252094014987,0.9945357891959633,4.4406306933386543e-07,0.12660221933992818,0.007774539213016469
act_gmy | Sessions(400-500),act,gmy,500,471,29,94.19999999999999,3,'2022-10-10 08:07:37','2022-10-26 19:02:14',13293548,1.581069771614198,-1.1727041972341845,2.7537739688483827,0.02772259896025369,-0.024528753818288555,0.2634792898797018,0.5133023376916394,0.9999502595715978,0.9987624125152867,0.9950815401390697,2.067100029983535e-06,0.15656161302544397,0.004927998923597365
act_gmy | Sessions(500-600),act,gmy,500,451,49,90.2,2,'2022-10-10 09:03:23','2022-10-26 19:52:00',12605912,1.50543667757243,-1.446412514302736,2.9518491918751657,-0.21654874286335188,-0.29832840127209115,0.2599395343507961,0.5098426564645175,0.999931655675439,0.9982950170145471,0.9932250817916137,-1.1582132642688343e-06,0.09615881063824594,0.014926254169533913
act_gmz | NoCondition,act,gmz,500,434,66,86.8,4,'2022-10-10 08:59:24','2022-10-26 20:03:23',12126323,1.5238703748098092,-1.1396098854725318,2.6634802602823413,0.30858591009325453,0.3336166191293866,0.22644751606628558,0.4758650187461625,0.9999464129931036,0.9986637885060666,0.994690864684092,-2.4577431296006817e-06,0.1241411195694785,0.009385320650910885
act_gmz | Sessions(0-100),act,gmz,500,424,76,84.8,6,'2022-10-10 07:58:52','2023-03-22 21:17:37',11787895,1.9843749996649653,-1.1683899430231925,3.152764942688158,0.2960810239182135,0.32650852894836396,0.21030167998264368,0.45858661121171396,0.999926169636789,0.9981513372109334,0.9926122015282169,-1.713881094934335e-06,0.12008466589690253,0.013163878181645694
act_gmz | Sessions(100-200),act,gmz,500,352,148,70.39999999999999,5,'2022-10-10 07:28:31','2022-11-25 13:53:25',9750622,1.9843749996590883,-1.1601956162154,3.144570615874488,0.27304301301749295,0.273781137584145,0.26791427809958773,0.5176043644518347,0.9999358014421001,0.9983956821441243,0.9936172480003548,-3.7727096066083935e-06,0.15122840633639176,0.01282101674003948
act_gmz | Sessions(200-300),act,gmz,500,434,66,86.8,4,'2022-10-10 08:59:24','2022-10-26 20:03:23',12126323,1.5238703748098092,-1.1396098854725318,2.6634802602823413,0.30858591009325453,0.3336166191293866,0.22644751606628558,0.4758650187461625,0.9999464129931036,0.9986637885060666,0.994690864684092,-2.4577431296006817e-06,0.1241411195694785,0.009385320650910885
act_gmz | Sessions(300-400),act,gmz,500,446,54,89.2,4,'2022-10-10 06:27:14','2022-10-26 19:52:19',12461922,1.2052551666663396,-1.1581387957807674,2.363393962447107,0.19023322999862857,0.17057789920487326,0.19636747136333857,0.44313369468292363,0.9999333227526368,0.9983374703068829,0.9933949626580806,-1.3260507472511976e-06,0.11760455951708512,0.011934331205221567
act_gmz | Sessions(400-500),act,gmz,500,471,29,94.19999999999999,3,'2022-10-10 08:07:37','2022-10-26 19:02:14',13293548,2.1491170865287574,-1.221131323913386,3.3702484104421435,0.6106981784609565,0.3829892126093807,0.7920722166504959,0.8899843912398104,0.9998330545617821,0.9958488786653518,0.9836224690135796,-3.20168401663967e-06,0.09794972840092639,0.035147661889261876
act_gmz | Sessions(500-600),act,gmz,500,451,49,90.2,2,'2022-10-10 09:03:23','2022-10-26 19:52:00',12605912,1.2152539076411906,-1.1201312722473469,2.3353851798885374,0.2575768299205979,0.3114565023869934,0.19902572872533425,0.4461229973060504,0.9999346194131171,0.9983689294504599,0.9935192074386107,-2.409250971565638e-06,0.10955588777083723,0.008927054705859453
act_bmx | NoCondition,act,bmx,500,434,66,86.8,4,'2022-10-10 08:59:24','2022-10-26 20:03:23',12126323,2.8095391558460032,-2.6762735570573524,5.485812712903355,0.00012055298180854169,1.451845165559065e-27,0.01299982515543348,0.11401677576318969,0.8486197308785416,0.3147148169881517,0.09392361925243425,5.3859037525861936e-09,0.00016077809714584889,0.7476435857280477
act_bmx | Sessions(0-100),act,bmx,500,424,76,84.8,6,'2022-10-10 07:58:52','2023-03-22 21:17:37',11787895,2.75137983134059,-2.587073321664682,5.338453153005272,0.00023974804856765253,1.5634723826707386e-07,0.016891639108499924,0.12996783874674506,0.8608031586264784,0.3121794644838735,0.08748608681414077,3.8274820589105494e-10,3.3125576738782504e-05,0.7549972563643911
act_bmx | Sessions(100-200),act,bmx,500,352,148,70.39999999999999,5,'2022-10-10 07:28:31','2022-11-25 13:53:25',9750622,2.8310059615228225,-2.0634832862440424,4.894489247766865,0.0003063206055450326,1.6427717834985345e-09,0.0136851025079403,0.11698334286529985,0.8600165372534033,0.3523463947245132,0.1050440416781612,4.766792826492697e-08,4.253472617411435e-05,0.7231020933730207
act_bmx | Sessions(200-300),act,bmx,500,434,66,86.8,4,'2022-10-10 08:59:24','2022-10-26 20:03:23',12126323,2.8095391558460032,-2.6762735570573524,5.485812712903355,0.00012055298180854169,1.451845165559065e-27,0.01299982515543348,0.11401677576318969,0.8486197308785416,0.3147148169881517,0.09392361925243425,5.3859037525861936e-09,0.00016077809714584889,0.7476435857280477
act_bmx | Sessions(300-400),act,bmx,500,446,54,89.2,4,'2022-10-10 06:27:14','2022-10-26 19:52:19',12461922,2.86719953662881,-2.4589586792096414,5.3261582158384515,0.00037102752755041656,7.588829368160299e-05,0.0198955770582139,0.1410516822239774,0.8748600423227759,0.3231564495150507,0.05538777667324934,2.662520384575116e-09,1.2202395690058535e-05,0.7707698480196319
act_bmx | Sessions(400-500),act,bmx,500,471,29,94.19999999999999,3,'2022-10-10 08:07:37','2022-10-26 19:02:14',13293548,2.9146847230451005,-2.4415476067582427,5.356232329803343,0.0003104824963598075,1.2180604344957414e-05,0.015271829587801483,0.123579244162608,0.8392930696891623,0.2569071236390789,0.06293467855085753,-1.595578347615508e-10,5.7105279139727754e-05,0.756649400529954
